"name","eng_name","nest","nsbank","nsgroun","nsgrass","nsclif","nsbuild","nsshru","nsdeci","nsconi","nssnag","nscact","nstang","ntree","nesting.location","Order","Family","sci_name","status"
"Thryomanes bewickii","Bewick's Wren","cavity",0,10,0,10,30,0,10,10,30,0,0,20,NA,"PASSERIFORMES"," Troglodytidae","Thryomanes bewickii",""
"Cinclus mexicanus","American Dipper","cup",0,40,0,40,20,0,0,0,0,0,0,0,NA,"PASSERIFORMES"," Cinclidae","Cinclus mexicanus",""
"Sialia sialis","Eastern Bluebird","cavity",0,0,0,0,0,0,30,20,50,0,0,50,NA,"PASSERIFORMES"," Turdidae","Sialia sialis","Rare/Accidental"
"Sialia mexicana","Western Bluebird","cavity",0,0,0,0,5,0,45,0,50,0,0,45,NA,"PASSERIFORMES"," Turdidae","Sialia mexicana",""
"Myadestes townsendi","Townsend's Solitaire","cup",0,20,40,0,0,10,0,0,30,0,0,0,NA,"PASSERIFORMES"," Turdidae","Myadestes townsendi",""
"Catharus fuscescens","Veery","cup",0,30,30,0,0,40,0,0,0,0,0,0,NA,"PASSERIFORMES"," Turdidae","Catharus fuscescens",""
"Catharus guttatus","Hermit Thrush","cup",0,20,20,0,0,20,10,30,0,0,0,40,NA,"PASSERIFORMES"," Turdidae","Catharus guttatus",""
"Motacilla alba","White Wagtail","crevice",50,0,0,20,30,0,0,0,0,0,0,0,NA,"PASSERIFORMES"," Motacillidae","Motacilla alba","Rare/Accidental"
"Carpodacus mexicanus","House Finch","cup",0,0,0,0,20,0,20,20,20,20,0,40,NA,"PASSERIFORMES"," Fringillidae","Haemorhous mexicanus",""
"Spizella passerina","Chipping Sparrow","cup",0,0,10,0,0,40,10,40,0,0,0,50,NA,"PASSERIFORMES"," Passerellidae","Spizella passerina",""
"Spizella pusilla","Field Sparrow","cup",0,0,50,0,0,50,0,0,0,0,0,0,NA,"PASSERIFORMES"," Passerellidae","Spizella pusilla","Rare/Accidental"
"Chondestes grammacus","Lark Sparrow","cup",0,30,30,0,0,40,0,0,0,0,0,0,NA,"PASSERIFORMES"," Passerellidae","Chondestes grammacus",""
"Spizella arborea","American Tree Sparrow","cup",0,20,40,0,0,40,0,0,0,0,0,0,NA,"PASSERIFORMES"," Passerellidae","Spizelloides arborea",""
"Passerella iliaca","Fox Sparrow","cup",0,0,30,0,0,30,40,0,0,0,0,40,NA,"PASSERIFORMES"," Passerellidae","Passerella iliaca",""
"Junco hyemalis","Dark-eyed Junco","cavity",30,50,10,10,0,0,0,0,0,0,0,0,NA,"PASSERIFORMES"," Passerellidae","Junco hyemalis",""
"Zonotrichia querula","Harris's Sparrow","cup",0,0,50,0,0,50,0,0,0,0,0,0,NA,"PASSERIFORMES"," Passerellidae","Zonotrichia querula","Near-threatened"
"Melospiza melodia","Song Sparrow","cup",0,0,45,0,0,45,5,5,0,0,0,10,NA,"PASSERIFORMES"," Passerellidae","Melospiza melodia",""
"Molothrus ater","Brown-headed Cowbird","paras",0,20,30,0,0,30,10,10,0,0,0,20,NA,"PASSERIFORMES"," Icteridae","Molothrus ater",""
"Quiscalus mexicanus","Great-tailed Grackle","cup",0,0,30,0,0,20,50,0,0,0,0,50,NA,"PASSERIFORMES"," Icteridae","Quiscalus mexicanus","Rare/Accidental"
"Vermivora celata","Orange-crowned Warbler","cup",0,40,30,0,0,20,0,0,0,0,10,0,NA,"PASSERIFORMES"," Parulidae","Leiothlypis celata",""
"Oporornis agilis","Connecticut Warbler","cup",0,40,50,0,0,10,0,0,0,0,0,0,NA,"PASSERIFORMES"," Parulidae","Oporornis agilis",""
"Oporornis tolmiei","MacGillivray's Warbler","cup",0,30,50,0,0,20,0,0,0,0,0,0,NA,"PASSERIFORMES"," Parulidae","Geothlypis tolmiei",""
"Oporornis philadelphia","Mourning Warbler","cup",0,20,40,0,0,20,0,0,0,0,20,0,NA,"PASSERIFORMES"," Parulidae","Geothlypis philadelphia",""
"Oporornis formosus","Kentucky Warbler","cup",0,40,50,0,0,10,0,0,0,0,0,0,NA,"PASSERIFORMES"," Parulidae","Geothlypis formosa","Rare/Accidental"
"Geothlypis trichas","Common Yellowthroat","cup",0,20,30,0,0,50,0,0,0,0,0,0,NA,"PASSERIFORMES"," Parulidae","Geothlypis trichas",""
"Dendroica petechia","Yellow Warbler","cup",0,0,10,0,0,40,25,25,0,0,0,50,NA,"PASSERIFORMES"," Parulidae","Setophaga petechia",""
"Dendroica palmarum","Palm Warbler","cup",0,20,40,0,0,20,20,0,0,0,0,20,NA,"PASSERIFORMES"," Parulidae","Setophaga palmarum",""
"Dendroica discolor","Prairie Warbler","cup",0,0,0,0,0,30,0,30,30,0,10,30,NA,"PASSERIFORMES"," Parulidae","Setophaga discolor","Rare/Accidental"
"Wilsonia pusilla","Wilson's Warbler","cup",0,40,40,0,0,0,0,0,0,0,20,0,NA,"PASSERIFORMES"," Parulidae","Cardellina pusilla",""
"Myioborus pictus","Painted Redstart","cup",10,40,40,10,0,0,0,0,0,0,0,0,NA,"PASSERIFORMES"," Parulidae","Myioborus pictus","Rare/Accidental"
"Cardinalis cardinalis","Northern Cardinal","cup",0,0,0,0,0,50,20,10,0,0,20,30,NA,"PASSERIFORMES"," Cardinalidae","Cardinalis cardinalis","Rare/Accidental"
"Pheucticus ludovicianus","Rose-breasted Grosbeak","cup",0,0,0,0,0,30,30,20,0,0,20,50,NA,"PASSERIFORMES"," Cardinalidae","Pheucticus ludovicianus",""
"Passerina caerulea","Blue Grosbeak","cup",0,0,0,0,0,40,30,20,0,0,10,50,NA,"PASSERIFORMES"," Cardinalidae","Passerina caerulea","Rare/Accidental"
