"order","family","sci_name","common_name","iucn_2024","status","mass_g","habitat","habitat_density","migration","trophic_level","trophic_niche","primary_lifestyle","range_size","lifespan","repro_age","clutches_per_year","kipps_distance","hand_wing_index","nest_type","majority_nesting_location","most_common_nesting_location","second_nesting_location","nest_category","any_tree_nest","ground_nest","shrub_nest","snag_nest","live_tree_nest","conifer_nest","deciduous_nest","majority_foraging_location","most_common_foraging_location","second_foraging_location","av_id","elton_id","d_id","elton_common_name","elton_sci_name","elton_syn","d_sci_name","for_hawking","for_foliage_gleaning","for_bark_gleaning","fstimb","diet_inv","diet_nect","diet_seed","for_strat_ground","for_strat_understory","for_strat_canopy","elevational_range","forest_use","primary_habitat","habitat_breadth","primary_diet","diet_breadth","eco_spec_index","old_growth"
"ANSERIFORMES"," Anatidae","Spatula clypeata","Northern Shoveler","LC","",612.6,"Wetland","open",3,"Omnivore","Aquatic predator","Aquatic",27068888.24,13,1,1,130.2,58,"scrape","ground","ground_nest",NA,"open",0,100,0,0,0,0,0,"water","water",NA,508,695,150,NA,"Anas clypeata","Spatula clypeata","Anas clypeata",0,0,0,0,60,0,20,0,0,0,4000,0,"Wetland",4,"Invertebrate",3,0.921,0
"ANSERIFORMES"," Anatidae","Mareca strepera","Gadwall","LC","",915.6,"Wetland","open",2,"Herbivore","Herbivore aquatic","Aquatic",18552362.65,22,1,1,137,54.8,"scrape","ground","ground_nest","live_tree_nest","open",5,95,0,0,5,0,5,"water","water","ground",513,671,160,NA,"Anas strepera","Mareca strepera","Anas strepera",0,0,0,0,0,0,30,20,0,0,2730,0,"Wetland",5,"Plant",2,1,0
"ANSERIFORMES"," Anatidae","Mareca falcata","Falcated Duck","LC","Rare/Accidental",645.8,"Wetland","open",3,"Herbivore","Herbivore aquatic","Aquatic",5490157.81,NA,NA,NA,129.5,54.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"water","water","ground",512,672,NA,NA,NA,NA,"Anas falcata",NA,NA,NA,NA,10,0,30,30,0,0,NA,0,"Wetland",5,"Plant",3,0.824,0
"ANSERIFORMES"," Anatidae","Mareca penelope","Eurasian Wigeon","LC","",770,"Wetland","open",3,"Herbivore","Omnivore","Terrestrial",16342850.08,21,1.5,1,143,57.2,"scrape","ground","ground_nest",NA,"open",0,100,0,0,0,0,0,NA,"ground","water",514,673,175,NA,"Mareca penelope","Mareca penelope","Anas penelope",0,0,0,0,0,0,20,50,0,0,3650,3,"Wetland",3,"Plant",2,1.222,0
"ANSERIFORMES"," Anatidae","Mareca americana","American Wigeon","LC","",754.6,"Wetland","open",3,"Herbivore","Omnivore","Terrestrial",8979266.49,21,1.5,1,135.4,53.7,"scrape","ground","ground_nest",NA,"open",0,100,0,0,0,0,0,NA,"ground","water",515,674,170,NA,"Anas americana","Mareca americana","Anas americana",0,0,0,0,0,0,0,50,0,0,NA,0,"Wetland",4,"Plant",3,0.921,0
"ANSERIFORMES"," Anatidae","Anas platyrhynchos","Mallard","LC","",843.4,"Wetland","open",2,"Herbivore","Herbivore aquatic","Aquatic",39707247.47,29,1,1.1,133.5,50.7,"scrape","ground","ground_nest",NA,"open",0,100,0,0,0,0,0,"water","water","ground",525,679,180,"Mallard","Anas platyrhynchos",NA,NA,0,0,0,0,40,0,20,20,0,0,2000,0,"Wetland",4,"Omnivore",4,0.796,0
"ANSERIFORMES"," Anatidae","Anas rubripes","American Black Duck","LC","Rare/Accidental",1241,"Wetland","open",2,"Omnivore","Herbivore aquatic","Aquatic",4118764.61,26,1,1,136.5,51.4,"scrape","ground","ground_nest","live_tree_nest","open",5,95,0,0,5,0,5,"water","water",NA,526,677,190,"American Black Duck","Anas rubripes",NA,NA,0,0,0,0,40,0,30,0,0,0,NA,4,"Wetland",4,"Omnivore",3,0.921,0
"ANSERIFORMES"," Anatidae","Anas acuta","Northern Pintail","LC","",944.6,"Wetland","open",3,"Herbivore","Herbivore aquatic","Aquatic",28403500.77,21,1,0.9,148.4,57.8,"scrape","ground","ground_nest",NA,"open",0,100,0,0,0,0,0,"water","water","ground",541,708,210,"Northern Pintail","Anas acuta",NA,NA,0,0,0,0,20,0,20,30,0,0,4000,0,"Wetland",5,"Omnivore",3,0.824,0
"ANSERIFORMES"," Anatidae","Anas crecca","Green-winged Teal","LC","",341.9,"Wetland","open",2,"Herbivore","Herbivore aquatic","Aquatic",31784516.68,20.5,1,1,96.6,53.5,"scrape","ground","ground_nest",NA,"open",0,100,0,0,0,0,0,"water","water",NA,545,714,220,"Common Teal","Anas crecca",NA,NA,0,0,0,0,30,0,20,0,0,0,3350,0,"Wetland",2,"Omnivore",3,1.222,0
"ANSERIFORMES"," Anatidae","Aythya valisineria","Canvasback","LC","",1202,"Wetland","open",3,"Herbivore","Herbivore aquatic","Aquatic",3654390.23,22,1.25,1,93.4,42,"cup","float","float_nest",NA,"built.structure",0,0,0,0,0,0,0,"water","water",NA,482,728,230,"Canvasback","Aythya valisineria",NA,NA,0,0,0,0,10,0,20,0,0,0,1200,0,"Wetland",3,"Omnivore",3,1.046,0
