assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
264565319,22679480,Lyrurus tetrix,ANIMALIA,CHORDATA,GALLIFORMES,AVES,PHASIANIDAE,Lyrurus,tetrix,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Decreasing,Global
264566591,22720681,Coccothraustes coccothraustes,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FRINGILLIDAE,Coccothraustes,coccothraustes,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Increasing,Global
264569317,22718630,Prunella montanella,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PRUNELLIDAE,Prunella,montanella,,,,"(Pallas, 1776)",Least Concern,,3.1,Unknown,Global
264573966,22715260,Phylloscopus sibilatrix,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PHYLLOSCOPIDAE,Phylloscopus,sibilatrix,,,,"(Bechstein, 1793)",Least Concern,,3.1,Decreasing,Global
264582322,22720354,Spinus spinus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FRINGILLIDAE,Spinus,spinus,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Stable,Global
264584438,22715240,Phylloscopus trochilus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PHYLLOSCOPIDAE,Phylloscopus,trochilus,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Decreasing,Global
264592510,22734992,Curruca curruca,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,SYLVIIDAE,Curruca,curruca,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Stable,Global
264593703,22695066,Ictinia mississippiensis,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Ictinia,mississippiensis,,,,"(Wilson, 1811)",Least Concern,,3.1,Increasing,Global
264594002,22681152,Dryobates scalaris,ANIMALIA,CHORDATA,PICIFORMES,AVES,PICIDAE,Dryobates,scalaris,,,,"(Wagler, 1829)",Least Concern,,3.1,Stable,Global
264594226,22695933,Buteo jamaicensis,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Buteo,jamaicensis,,,,"(Gmelin, 1788)",Least Concern,,3.1,Increasing,Global
