internalTaxonId,scientificName,name,genusName,speciesName,speciesAuthor,infraType,infrarankAuthor
22694764,Chlidonias hybrida,Chlidonias hybridus ssp. hybridus — Christidis and Boles (1994),Chlidonias,hybridus,,subspecies,— Christidis and Boles (1994)
22694764,Chlidonias hybrida,Chlidonias hybridus ssp. hybridus — Cramp and Simmons (1977-1994),Chlidonias,hybridus,,subspecies,— Cramp and Simmons (1977-1994)
22694764,Chlidonias hybrida,"Chlidonias hybridus ssp. hybridus — Sibley and Monroe (1990, 1993)",Chlidonias,hybridus,,subspecies,"— Sibley and Monroe (1990, 1993)"
22680157,Mareca penelope,"Anas penelope Linnaeus, 1758",Anas,penelope,"Linnaeus, 1758",,
103727785,Aphelocoma californica,"Aphelocoma insularis Henshaw, 1886",Aphelocoma,insularis,"Henshaw, 1886",,
22679464,Lagopus muta,Lagopus mutus BirdLife International (2004),Lagopus,mutus,BirdLife International (2004),,
22679464,Lagopus muta,Lagopus mutus Cramp and Simmons (1977-1994),Lagopus,mutus,Cramp and Simmons (1977-1994),,
22679464,Lagopus muta,"Lagopus mutus Sibley and Monroe (1990, 1993)",Lagopus,mutus,"Sibley and Monroe (1990, 1993)",,
22711716,Poecile atricapillus,Poecile atricapillus atricapilla AOU checklist (1998 + supplements),Poecile atricapillus,atricapilla,AOU checklist (1998 + supplements),,
22711716,Poecile atricapillus,"Parus atricapillus Linnaeus, 1766",Parus,atricapillus,"Linnaeus, 1766",,
22711724,Poecile gambeli,Poecile gambeli gambeli AOU checklist (1998 + supplements),Poecile gambeli,gambeli,AOU checklist (1998 + supplements),,
22711724,Poecile gambeli,"Parus gambeli Ridgway, 1886",Parus,gambeli,"Ridgway, 1886",,
22711989,Baeolophus atricristatus,"Parus atricristatus atricristatus Sibley and Monroe (1990, 1993)",Parus atricristatus,atricristatus,"Sibley and Monroe (1990, 1993)",,
22711989,Baeolophus atricristatus,Parus atricristatus atricristatus Stotz et al. (1996),Parus atricristatus,atricristatus,Stotz et al. (1996),,
22696944,Egretta caerulea,Florida caerulea ssp. caerulea — Stotz <i>et al</i>. (1996),Florida,caerulea,,subspecies,— Stotz <i>et al</i>. (1996)
22685577,Ara severus,Ara severa,Ara severa,,BirdLife International (2004),,
22685577,Ara severus,Ara severa,Ara severa,,"Sibley and Monroe (1990, 1993)",,
22685577,Ara severus,Ara severa,Ara severa,,Stotz et al. (1996),,
22720722,Telespiza ultima,"Telespyza ultima ssp. ultima Bryan, 1917 — Collar and Andrew (1988)",Telespyza,ultima,,subspecies,"Bryan, 1917 — Collar and Andrew (1988)"
22721737,Setophaga striata,"Dendroica striata (Forster, 1772)",Dendroica,striata,"(Forster, 1772)",,
22720702,Hesperiphona vespertina,Hesperiphona vespertina,Hesperiphona vespertina,,AERC TAC (2003),,
22720702,Hesperiphona vespertina,"Hesperiphona vespertina vespertina Sibley and Monroe (1990, 1993)",Hesperiphona vespertina,vespertina,"Sibley and Monroe (1990, 1993)",,
22720702,Hesperiphona vespertina,Hesperiphona vespertina vespertina Cramp and Simmons (1977-1994),Hesperiphona vespertina,vespertina,Cramp and Simmons (1977-1994),,
22720702,Hesperiphona vespertina,"Coccothraustes vespertinus (Cooper, 1825)",Coccothraustes,vespertinus,"(Cooper, 1825)",,
22720340,Chloris sinica,"Carduelis sinica (Linnaeus, 1766)",Carduelis,sinica,"(Linnaeus, 1766)",,
22720728,Telespiza cantans,Telespyza cantans cantans Collar and Andrew (1988),Telespyza cantans,cantans,Collar and Andrew (1988),,
22678728,Ortygornis pondicerianus,"Francolinus pondicerianus (Gmelin, 1789)",Francolinus,pondicerianus,"(Gmelin, 1789)",,
22685752,Aratinga nenday,"Nandayus nenday (Vieillot, 1823)",Nandayus,nenday,"(Vieillot, 1823)",,
22715685,Pterorhinus caerulatus,"Garrulax caerulatus (Hodgson, 1836)",Garrulax,caerulatus,"(Hodgson, 1836)",,
22715685,Pterorhinus caerulatus,"Cinclosoma Caerulatus Hodgson, 1836",Cinclosoma,Caerulatus,"Hodgson, 1836",,
22719518,Glaucestrilda coerulescens,"Estrilda coerulescens (Vieillot, 1817)",Estrilda,coerulescens,"(Vieillot, 1817)",,
22719761,Euodice cantans,Euodice cantans cantans Cramp and Simmons (1977-1994),Euodice cantans,cantans,Cramp and Simmons (1977-1994),,
22719761,Euodice cantans,Euodice cantans,Euodice cantans,,AERC TAC (2003),,
22719761,Euodice cantans,"Lonchura cantans (Gmelin, 1789)",Lonchura,cantans,"(Gmelin, 1789)",,
22719770,Euodice malabarica,Euodice malabarica,Euodice malabarica,,AERC TAC (2003),,
22719770,Euodice malabarica,Euodice malabarica malabarica Cramp and Simmons (1977-1994),Euodice malabarica,malabarica,Cramp and Simmons (1977-1994),,
22719770,Euodice malabarica,"Lonchura malabarica (Linnaeus, 1758)",Lonchura,malabarica,"(Linnaeus, 1758)",,
22720181,Crithagra mozambica,"Serinus mozambicus (Müller, 1776)",Serinus,mozambicus,"(Müller, 1776)",,
22720563,Haemorhous mexicanus,"Carpodacus mexicanus (Müller, 1776)",Carpodacus,mexicanus,"(Müller, 1776)",,
102998555,Alauda arvensis,"Alauda japonica Temminck & Schlegel, 1848",Alauda,japonica,"Temminck & Schlegel, 1848",,
22678865,Pternistis erckelii,"Francolinus erckelii (Rüppell, 1835)",Francolinus,erckelii,"(Rüppell, 1835)",,
22697203,Nyctanassa violacea,Nycticorax violaceus violaceus Stotz et al. (1996),Nycticorax violaceus,violaceus,Stotz et al. (1996),,
22720410,Spinus psaltria,"Carduelis psaltria (Say, 1823)",Carduelis,psaltria,"(Say, 1823)",,
22723611,Melanospiza bicolor,"Tiaris bicolor (Linnaeus, 1766)",Tiaris,bicolor,"(Linnaeus, 1766)",,
22723939,Passerina caerulea,Guiraca caerulea caerulea Cramp and Simmons (1977-1994),Guiraca caerulea,caerulea,Cramp and Simmons (1977-1994),,
22723939,Passerina caerulea,"Guiraca caerulea caerulea Sibley and Monroe (1990, 1993)",Guiraca caerulea,caerulea,"Sibley and Monroe (1990, 1993)",,
132341128,Hydrobates castro,"Oceanodroma castro (Harcourt, 1851)",Oceanodroma,castro,"(Harcourt, 1851)",,
132341128,Hydrobates castro,"Thalassidroma castro Harcourt, 1851",Thalassidroma,castro,"Harcourt, 1851",,
132438298,Hydrobates leucorhous,"Hydrobates leucorhoa ssp. leucorhoa (Vieillot, 1818) — Christidis and Boles (2008)",Hydrobates,leucorhoa,,subspecies,"(Vieillot, 1818) — Christidis and Boles (2008)"
132438298,Hydrobates leucorhous,"Oceanodroma leucorhoa (Vieillot, 1818)",Oceanodroma,leucorhoa,"(Vieillot, 1818)",,
132450926,Hydrobates socorroensis,"Oceanodroma socorroensis Townsend, 1890",Oceanodroma,socorroensis,"Townsend, 1890",,
132450926,Hydrobates socorroensis,"Hydrobates leucorhous ssp. socorroensis (Townsend, 1890)",Hydrobates,leucorhous,,subspecies,"(Townsend, 1890)"
22680415,Polysticta stelleri,"Anas stelleri Pallas, 1769",Anas,stelleri,"Pallas, 1769",,
22694160,Catharacta skua,Stercorarius skua ssp. skua — AOU checklist (1998 + supplements),Stercorarius,skua,,subspecies,— AOU checklist (1998 + supplements)
22694160,Catharacta skua,Stercorarius skua ssp. skua — Cramp and Simmons (1977-1994),Stercorarius,skua,,subspecies,— Cramp and Simmons (1977-1994)
22694160,Catharacta skua,"Stercorarius skua Brünnich, 1764",Stercorarius,skua,"Brünnich, 1764",,
22694218,Catharacta maccormicki,Stercorarius maccormicki maccormicki Christidis and Boles (2008),Stercorarius maccormicki,maccormicki,Christidis and Boles (2008),,
22694218,Catharacta maccormicki,Stercorarius maccormicki maccormicki AOU checklist (1998 + supplements),Stercorarius maccormicki,maccormicki,AOU checklist (1998 + supplements),,
22694218,Catharacta maccormicki,"Stercorarius maccormicki (Saunders, 1893)",Stercorarius,maccormicki,"(Saunders, 1893)",,
22694420,Larus ridibundus,Chroicocephalus ridibundus ssp. ridibundus — Christidis and Boles (2008),Chroicocephalus,ridibundus,,subspecies,— Christidis and Boles (2008)
22694455,Larus atricilla,Leucophaeus atricilla atricilla Christidis and Boles (2008),Leucophaeus atricilla,atricilla,Christidis and Boles (2008),,
22694462,Larus pipixcan,Leucophaeus pipixcan pipixcan Christidis and Boles (2008),Leucophaeus pipixcan,pipixcan,Christidis and Boles (2008),,
22694469,Hydrocoloeus minutus,"Larus minutus Pallas, 1776",Larus,minutus,"Pallas, 1776",,
22694542,Thalasseus maximus,Thalasseus maximus Stotz et al. (1996),Thalasseus,maximus,Stotz et al. (1996),,
22694542,Thalasseus maximus,Thalasseus maximus AOU checklist (1998 + supplements),Thalasseus,maximus,AOU checklist (1998 + supplements),,
