SortID,Order,Family,Species common name,Species scientific name,PhyloName,phylo-duplicate-flag,phylo-fidelity,Str-None,Str-Scrape,Str-Clearing,Str-Ring,Str-Excavation,Str-CavityMod,Str-ExWNest,Str-Mound,Str-Platform,Str-Cup,Str-Dome,Str-DomeAndTube,Loc-Artificial,Loc-EarthHole,Loc-Ground,Loc-Rocks,Loc-TreeHole,Loc-Veg,Loc-Water,Body mass (log),HWI,Latitude,AnnualTemp,TempRange,AnnualPrecip,PrecipRange
1310,CAPRIMULGIFORMES,Trochilidae,Green-headed Hillstar,Oreotrochilus stolzmanni,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA
1311,CAPRIMULGIFORMES,Trochilidae,White-sided Hillstar,Oreotrochilus leucopleurus,Oreotrochilus leucopleurus,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.911157609,59.62691339,-32.29,10.99330571,26.13790595,543.7162896,89.10485766
1312,CAPRIMULGIFORMES,Trochilidae,Black-breasted Hillstar,Oreotrochilus melanogaster,Oreotrochilus melanogaster,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0.959041392,58.48422832,-11.81,10.98158,18.01571538,927.6868462,136.5248953
1313,CAPRIMULGIFORMES,Trochilidae,Wedge-tailed Hillstar,Oreotrochilus adela,Oreotrochilus adela,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.894869657,56.32489725,-19.29,13.80005118,23.89562941,646.0285294,130.4588076
1314,CAPRIMULGIFORMES,Trochilidae,Mountain Avocetbill,Opisthoprora euryptera,Opisthoprora euryptera,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.760422483,59.74725562,-1.1,17.78078182,12.04454091,1969.065182,149.3264818
1315,CAPRIMULGIFORMES,Trochilidae,Black-tailed Trainbearer,Lesbia victoriae,Lesbia victoriae,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,u,u,0,1,0,0.698970004,63.78274268,-6.24,13.9471931,15.88870224,1266.225655,153.8865623
1316,CAPRIMULGIFORMES,Trochilidae,Green-tailed Trainbearer,Lesbia nuna,Lesbia nuna,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,0.568201724,62.04759984,-5.75,15.38273016,15.42108226,1395.468839,145.5159142
1317,CAPRIMULGIFORMES,Trochilidae,Black-backed Thornbill,Ramphomicron dorsale,Ramphomicron dorsale,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.544068044,64.15246967,10.65,22.2909,13.2224,1727.015,289.857
1318,CAPRIMULGIFORMES,Trochilidae,Purple-backed Thornbill,Ramphomicron microrhynchum,Ramphomicron microrhynchum,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.556302501,61.31993007,-2.13,16.82472857,14.44643416,1656.366195,184.8364862
1319,CAPRIMULGIFORMES,Trochilidae,Rufous-capped Thornbill,Chalcostigma ruficeps,Chalcostigma ruficeps,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.531478917,58.83029453,-11.75,14.2922102,18.3562551,1185.853306,156.8299157
