SORTER,Submitted_Name,Submitted_Author,Submitted_Genus,Submitted_Rank,Name_in_database,Author_in_database,Genus_in_database,Rank_in_database,ID_in_database,Name_set,Fuzzy,Score,name.dist,author.dist,New_name,New_author,New_ID,Family,Name_spLev,Accepted_SPNAME,NOTE
360,Tyrannus savana,,Tyrannus,2,Tyrannus savana,"Vieillot, 1808",Tyrannus,2,178294,1,FALSE,0.8,0,,,,,Tyrannidae,,Tyrannus savana,
361,Vireo atricapilla,,Vireo,2,Vireo atricapilla,"Woodhouse, 1852",Vireo,2,178990,1,FALSE,0.8,0,,,,,Vireonidae,,Vireo atricapilla,
362,Vireo griseus,,Vireo,2,Vireo griseus,"(Boddaert, 1783)",Vireo,2,178991,1,FALSE,0.8,0,,,,,Vireonidae,,Vireo griseus,
363,Vireo bellii,,Vireo,2,Vireo bellii,"Audubon, 1844",Vireo,2,179003,1,FALSE,0.8,0,,,,,Vireonidae,,Vireo bellii,
364,Vireo huttoni,,Vireo,2,Vireo huttoni,"Cassin, 1851",Vireo,2,178997,1,FALSE,0.8,0,,,,,Vireonidae,,Vireo huttoni,
365,Vireo cassinii,,Vireo,2,Vireo cassinii,"Xantus de Vesey, 1858",Vireo,2,554456,1,FALSE,0.8,0,,,,,Vireonidae,,Vireo cassinii,
366,Vireo solitarius,,Vireo,2,Vireo solitarius,"(A. Wilson, 1810)",Vireo,2,179010,1,FALSE,0.8,0,,,,,Vireonidae,,Vireo solitarius,
367,Vireo philadelphicus,,Vireo,2,Vireo philadelphicus,"(Cassin, 1851)",Vireo,2,179022,1,FALSE,0.8,0,,,,,Vireonidae,,Vireo philadelphicus,
368,Vireo gilvus,,Vireo,2,Vireo gilvus,"(Vieillot, 1808)",Vireo,2,179023,1,FALSE,0.8,0,,,,,Vireonidae,,Vireo gilvus,
369,Vireo olivaceus,,Vireo,2,Vireo olivaceus,"(Linnaeus, 1766)",Vireo,2,179021,1,FALSE,0.8,0,,,,,Vireonidae,,Vireo olivaceus,
370,Vireo flavoviridis,,Vireo,2,Vireo flavoviridis,"(Cassin, 1851)",Vireo,2,179019,1,FALSE,0.8,0,,,,,Vireonidae,,Vireo flavoviridis,
371,Lanius collurio,,Lanius,2,Lanius collurio,"Linnaeus, 1758",Lanius,2,560720,1,FALSE,0.8,0,,,,,Laniidae,,Lanius collurio,
372,Lanius cristatus,,Lanius,2,Lanius cristatus,"Linnaeus, 1758",Lanius,2,178525,1,FALSE,0.8,0,,,,,Laniidae,,Lanius cristatus,
373,Lanius ludovicianus,,Lanius,2,Lanius ludovicianus,"Linnaeus, 1766",Lanius,2,178515,1,FALSE,0.8,0,,,,,Laniidae,,Lanius ludovicianus,
374,Lanius borealis,,Lanius,2,Lanius dorsalis,"Cabanis, 1878",Lanius,2,560722,1,TRUE,0.7,2,,,,,Laniidae,,Lanius dorsalis,
375,Perisoreus canadensis,,Perisoreus,2,Perisoreus canadensis,"(Linnaeus, 1766)",Perisoreus,2,179667,1,FALSE,0.8,0,,,,,Corvidae,,Perisoreus canadensis,
376,Gymnorhinus cyanocephalus,,Gymnorhinus,2,Gymnorhinus cyanocephalus,"Wied-Neuwied, 1841",Gymnorhinus,2,179748,1,FALSE,0.8,0,,,,,Corvidae,,Gymnorhinus cyanocephalus,
377,Cyanocitta stelleri,,Cyanocitta,2,Cyanocitta stelleri,"(Gmelin, 1788)",Cyanocitta,2,179685,1,FALSE,0.8,0,,,,,Corvidae,,Cyanocitta stelleri,
378,Cyanocitta cristata,,Cyanocitta,2,Cyanocitta cristata,"(Linnaeus, 1758)",Cyanocitta,2,179680,1,FALSE,0.8,0,,,,,Corvidae,,Cyanocitta cristata,
379,Aphelocoma californica,,Aphelocoma,2,Aphelocoma californica,"(Vigors, 1839)",Aphelocoma,2,554128,1,FALSE,0.8,0,,,,,Corvidae,,Aphelocoma californica,
380,Pica hudsonia,,Pica,2,Pica hudsonia,"(Sabine, 1823)",Pica,2,726117,1,FALSE,0.8,0,,,,,Corvidae,,Pica hudsonia,
381,Nucifraga columbiana,,Nucifraga,2,Nucifraga columbiana,"(A. Wilson, 1811)",Nucifraga,2,179750,1,FALSE,0.8,0,,,,,Corvidae,,Nucifraga columbiana,
382,Corvus brachyrhynchos,,Corvus,2,Corvus brachyrhynchos,"C. L. Brehm, 1822",Corvus,2,179731,1,FALSE,0.8,0,,,,,Corvidae,,Corvus brachyrhynchos,
383,Corvus corax,,Corvus,2,Corvus corax,"Linnaeus, 1758",Corvus,2,179725,1,FALSE,0.8,0,,,,,Corvidae,,Corvus corax,
384,Poecile atricapillus,,Poecile,2,Poecile atricapillus,"(Linnaeus, 1766)",Poecile,2,554382,1,FALSE,0.8,0,,,,,Paridae,,Poecile atricapillus,
385,Poecile gambeli,,Poecile,2,Poecile gambeli,"(Ridgway, 1886)",Poecile,2,554385,1,FALSE,0.8,0,,,,,Paridae,,Poecile gambeli,
386,Poecile rufescens,,Poecile,2,Poecile rufescens,"(J. K. Townsend, 1837)",Poecile,2,554387,1,FALSE,0.8,0,,,,,Paridae,,Poecile rufescens,
387,Poecile hudsonicus,,Poecile,2,Poecile hudsonicus,"(J. R. Forster, 1772)",Poecile,2,554386,1,FALSE,0.8,0,,,,,Paridae,,Poecile hudsonicus,
388,Alauda arvensis,,Alauda,2,Alauda arvensis,"Linnaeus, 1758",Alauda,2,178398,1,FALSE,0.8,0,,,,,Alaudidae,,Alauda arvensis,
389,Eremophila alpestris,,Eremophila,2,Eremophila alpestris,"(Linnaeus, 1758)",Eremophila,2,554256,1,FALSE,0.8,0,,,,,Alaudidae,,Eremophila alpestris,
390,Riparia riparia,,Riparia,2,Riparia riparia,"(Linnaeus, 1758)",Riparia,2,178436,1,FALSE,0.8,0,,,,,Hirundinidae,,Riparia riparia,
391,Tachycineta bicolor,,Tachycineta,2,Tachycineta bicolor,"(Vieillot, 1808)",Tachycineta,2,178431,1,FALSE,0.8,0,,,,,Hirundinidae,,Tachycineta bicolor,
392,Tachycineta thalassina,,Tachycineta,2,Tachycineta thalassina,"(Swainson, 1827)",Tachycineta,2,178427,1,FALSE,0.8,0,,,,,Hirundinidae,,Tachycineta thalassina,
393,Progne subis,,Progne,2,Progne subis,"(Linnaeus, 1758)",Progne,2,178464,1,FALSE,0.8,0,,,,,Hirundinidae,,Progne subis,
394,Stelgidopteryx serripennis,,Stelgidopteryx,2,Stelgidopteryx serripennis,"(Audubon, 1838)",Stelgidopteryx,2,178443,1,FALSE,0.8,0,,,,,Hirundinidae,,Stelgidopteryx serripennis,
395,Hirundo rustica,,Hirundo,2,Hirundo rustica,"Linnaeus, 1758",Hirundo,2,178448,1,FALSE,0.8,0,,,,,Hirundinidae,,Hirundo rustica,
396,Delichon urbicum,,Delichon,2,Delichon urbicum,"(Linnaeus, 1758)",Delichon,2,726115,1,FALSE,0.8,0,,,,,Hirundinidae,,Delichon urbicum,
397,Petrochelidon pyrrhonota,,Petrochelidon,2,Petrochelidon pyrrhonota,"(Vieillot, 1817)",Petrochelidon,2,178455,1,FALSE,0.8,0,,,,,Hirundinidae,,Petrochelidon pyrrhonota,
398,Petrochelidon fulva,,Petrochelidon,2,Petrochelidon fulva,"(Vieillot, 1808)",Petrochelidon,2,178460,1,FALSE,0.8,0,,,,,Hirundinidae,,Petrochelidon fulva,
399,Phylloscopus inornatus,,Phylloscopus,2,Phylloscopus inornatus,"(Blyth, 1842)",Phylloscopus,2,562136,1,FALSE,0.8,0,,,,,Phylloscopidae,,Phylloscopus inornatus,
400,Psaltriparus minimus,,Psaltriparus,2,Psaltriparus minimus,"(J. K. Townsend, 1837)",Psaltriparus,2,178764,1,FALSE,0.8,0,,,,,Aegithalidae,,Psaltriparus minimus,
401,Corthylio calendula,,Corthylio,2,,,,,,1,TRUE,,,,,,,,,,No matching result
402,Regulus satrapa,,Regulus,2,Regulus satrapa,"Lichtenstein, 1823",Regulus,2,179865,1,FALSE,0.8,0,,,,,Regulidae,,Regulus satrapa,
403,Sitta carolinensis,,Sitta,2,Sitta carolinensis,"Latham, 1790",Sitta,2,178775,1,FALSE,0.8,0,,,,,Sittidae,,Sitta carolinensis,
404,Sitta pygmaea,,Sitta,2,Sitta pygmaea,"Vigors, 1839",Sitta,2,178788,1,FALSE,0.8,0,,,,,Sittidae,,Sitta pygmaea,
405,Sitta canadensis,,Sitta,2,Sitta canadensis,"Linnaeus, 1766",Sitta,2,178784,1,FALSE,0.8,0,,,,,Sittidae,,Sitta canadensis,
406,Certhia americana,,Certhia,2,Certhia americana,"Bonaparte, 1838",Certhia,2,178803,1,FALSE,0.8,0,,,,,Certhiidae,,Certhia americana,
407,Polioptila caerulea,,Polioptila,2,Polioptila caerulea,"(Linnaeus, 1766)",Polioptila,2,179853,1,FALSE,0.8,0,,,,,Polioptilidae,,Polioptila caerulea,
408,Salpinctes obsoletus,,Salpinctes,2,Salpinctes obsoletus,"(Say, 1822)",Salpinctes,2,178614,1,FALSE,0.8,0,,,,,Troglodytidae,,Salpinctes obsoletus,
409,Catherpes mexicanus,,Catherpes,2,Catherpes mexicanus,"(Swainson, 1829)",Catherpes,2,178610,1,FALSE,0.8,0,,,,,Troglodytidae,,Catherpes mexicanus,
410,Troglodytes aedon,,Troglodytes,2,Troglodytes aedon,"Vieillot, 1809",Troglodytes,2,178541,1,FALSE,0.8,0,,,,,Troglodytidae,,Troglodytes aedon,
411,Troglodytes pacificus,,Troglodytes,2,Troglodytes pacificus,"S. F. Baird, 1864",Troglodytes,2,916804,1,FALSE,0.8,0,,,,,Troglodytidae,,Troglodytes pacificus,
412,Troglodytes hiemalis,,Troglodytes,2,Troglodytes hiemalis,"Vieillot, 1819",Troglodytes,2,916803,1,FALSE,0.8,0,,,,,Troglodytidae,,Troglodytes hiemalis,
413,Cistothorus stellaris,,Cistothorus,2,Cistothorus palustris,"(A. Wilson, 1810)",Cistothorus,2,178608,1,TRUE,0.5,6,,,,,Troglodytidae,,Cistothorus palustris,Multiple results
414,Cistothorus palustris,,Cistothorus,2,Cistothorus palustris,"(A. Wilson, 1810)",Cistothorus,2,178608,1,FALSE,0.8,0,,,,,Troglodytidae,,Cistothorus palustris,
415,Thryomanes bewickii,,Thryomanes,2,Thryomanes bewickii,"(Audubon, 1827)",Thryomanes,2,178562,1,FALSE,0.8,0,,,,,Troglodytidae,,Thryomanes bewickii,
416,Cinclus mexicanus,,Cinclus,2,Cinclus mexicanus,"Swainson, 1827",Cinclus,2,178536,1,FALSE,0.8,0,,,,,Cinclidae,,Cinclus mexicanus,
417,Sturnus vulgaris,,Sturnus,2,Sturnus vulgaris,"Linnaeus, 1758",Sturnus,2,179637,1,FALSE,0.8,0,,,,,Sturnidae,,Sturnus vulgaris,
418,Spodiopsar cineraceus,,Spodiopsar,2,Spodiopsar cineraceus,"(Temminck, 1835)",Spodiopsar,2,915877,1,FALSE,0.8,0,,,,,Sturnidae,,Spodiopsar cineraceus,
419,Acridotheres cristatellus,,Acridotheres,2,Acridotheres cristatellus,"(Linnaeus, 1758)",Acridotheres,2,179642,1,FALSE,0.8,0,,,,,Sturnidae,,Acridotheres cristatellus,
420,Dumetella carolinensis,,Dumetella,2,Dumetella carolinensis,"(Linnaeus, 1766)",Dumetella,2,178625,1,FALSE,0.8,0,,,,,Mimidae,,Dumetella carolinensis,
421,Toxostoma curvirostre,,Toxostoma,2,Toxostoma curvirostre,"(Swainson, 1827)",Toxostoma,2,178637,1,FALSE,0.8,0,,,,,Mimidae,,Toxostoma curvirostre,
422,Toxostoma rufum,,Toxostoma,2,Toxostoma rufum,"(Linnaeus, 1758)",Toxostoma,2,178627,1,FALSE,0.8,0,,,,,Mimidae,,Toxostoma rufum,
423,Oreoscoptes montanus,,Oreoscoptes,2,Oreoscoptes montanus,"(J. K. Townsend, 1837)",Oreoscoptes,2,178654,1,FALSE,0.8,0,,,,,Mimidae,,Oreoscoptes montanus,
424,Mimus polyglottos,,Mimus,2,Mimus polyglottos,"(Linnaeus, 1758)",Mimus,2,178620,1,FALSE,0.8,0,,,,,Mimidae,,Mimus polyglottos,
425,Sialia sialis,,Sialia,2,Sialia sialis,"(Linnaeus, 1758)",Sialia,2,179801,1,FALSE,0.8,0,,,,,Turdidae,,Sialia sialis,
426,Sialia mexicana,,Sialia,2,Sialia mexicana,"Swainson, 1832",Sialia,2,179806,1,FALSE,0.8,0,,,,,Turdidae,,Sialia mexicana,
427,Sialia currucoides,,Sialia,2,Sialia currucoides,"(Bechstein, 1798)",Sialia,2,179811,1,FALSE,0.8,0,,,,,Turdidae,,Sialia currucoides,
428,Myadestes townsendi,,Myadestes,2,Myadestes townsendi,"(Audubon, 1838)",Myadestes,2,179824,1,FALSE,0.8,0,,,,,Turdidae,,Myadestes townsendi,
429,Ixoreus naevius,,Ixoreus,2,Ixoreus naevius,"(Gmelin, 1789)",Ixoreus,2,179773,1,FALSE,0.8,0,,,,,Turdidae,,Ixoreus naevius,
430,Catharus fuscescens,,Catharus,2,Catharus fuscescens,"(Stephens, 1817)",Catharus,2,179796,1,FALSE,0.8,0,,,,,Turdidae,,Catharus fuscescens,
431,Catharus minimus,,Catharus,2,Catharus minimus,"(Lafresnaye, 1848)",Catharus,2,179793,1,FALSE,0.8,0,,,,,Turdidae,,Catharus minimus,
432,Catharus ustulatus,,Catharus,2,Catharus ustulatus,"(Nuttall, 1840)",Catharus,2,179788,1,FALSE,0.8,0,,,,,Turdidae,,Catharus ustulatus,
433,Catharus guttatus,,Catharus,2,Catharus guttatus,"(Pallas, 1811)",Catharus,2,179779,1,FALSE,0.8,0,,,,,Turdidae,,Catharus guttatus,
434,Hylocichla mustelina,,Hylocichla,2,Hylocichla mustelina,"(Gmelin, 1789)",Hylocichla,2,179777,1,FALSE,0.8,0,,,,,Turdidae,,Hylocichla mustelina,
435,Turdus iliacus,,Turdus,2,Turdus iliacus,"Linnaeus, 1758",Turdus,2,179769,1,FALSE,0.8,0,,,,,Turdidae,,Turdus iliacus,
436,Turdus migratorius,,Turdus,2,Turdus migratorius,"Linnaeus, 1766",Turdus,2,179759,1,FALSE,0.8,0,,,,,Turdidae,,Turdus migratorius,
437,Turdus pilaris,,Turdus,2,Turdus pilaris,"Linnaeus, 1758",Turdus,2,179766,1,FALSE,0.8,0,,,,,Turdidae,,Turdus pilaris,
438,Turdus eunomus,,Turdus,2,Turdus eunomus,"Temminck, 1831",Turdus,2,916170,1,FALSE,0.8,0,,,,,Turdidae,,Turdus eunomus,
439,Tarsiger cyanurus,,Tarsiger,2,Tarsiger cyanurus,"(Pallas, 1773)",Tarsiger,2,179838,1,FALSE,0.8,0,,,,,Muscicapidae,,Tarsiger cyanurus,
440,Monticola solitarius,,Monticola,2,Monticola solitarius,"(Linnaeus, 1758)",Monticola,2,179834,1,FALSE,0.8,0,,,,,Muscicapidae,,Monticola solitarius,
441,Oenanthe oenanthe,,Oenanthe,2,Oenanthe oenanthe,"(Linnaeus, 1758)",Oenanthe,2,179814,1,FALSE,0.8,0,,,,,Muscicapidae,,Oenanthe oenanthe,
442,Bombycilla garrulus,,Bombycilla,2,Bombycilla garrulus,"(Linnaeus, 1758)",Bombycilla,2,178529,1,FALSE,0.8,0,,,,,Bombycillidae,,Bombycilla garrulus,
443,Bombycilla cedrorum,,Bombycilla,2,Bombycilla cedrorum,"Vieillot, 1808",Bombycilla,2,178532,1,FALSE,0.8,0,,,,,Bombycillidae,,Bombycilla cedrorum,
444,Prunella montanella,,Prunella,2,Prunella montanella,"(Pallas, 1776)",Prunella,2,178660,1,FALSE,0.8,0,,,,,Prunellidae,,Prunella montanella,
445,Passer domesticus,,Passer,2,Passer domesticus,"(Linnaeus, 1758)",Passer,2,179628,1,FALSE,0.8,0,,,,,Passeridae,,Passer domesticus,
446,Motacilla cinerea,,Motacilla,2,Motacilla cinerea,"Tunstall, 1771",Motacilla,2,178480,1,FALSE,0.8,0,,,,,Motacillidae,,Motacilla cinerea,
447,Motacilla tschutschensis,,Motacilla,2,Motacilla tschutschensis,"Gmelin, 1789",Motacilla,2,726116,1,FALSE,0.8,0,,,,,Motacillidae,,Motacilla tschutschensis,
448,Motacilla citreola,,Motacilla,2,Motacilla citreola,"Pallas, 1776",Motacilla,2,554345,1,FALSE,0.8,0,,,,,Motacillidae,,Motacilla citreola,
449,Motacilla alba,,Motacilla,2,Motacilla alba,"Linnaeus, 1758",Motacilla,2,178476,1,FALSE,0.8,0,,,,,Motacillidae,,Motacilla alba,
450,Anthus cervinus,,Anthus,2,Anthus cervinus,"(Pallas, 1811)",Anthus,2,178498,1,FALSE,0.8,0,,,,,Motacillidae,,Anthus cervinus,
451,Anthus japonicus,,Anthus,2,Anthus antarcticus,"Cabanis, 1884",Anthus,2,558633,1,TRUE,0.5,6,,,,,Motacillidae,,Anthus antarcticus,Multiple results
452,Anthus rubescens,,Anthus,2,Anthus rubescens,"(Tunstall, 1771)",Anthus,2,554127,1,FALSE,0.8,0,,,,,Motacillidae,,Anthus rubescens,
453,Anthus spragueii,,Anthus,2,Anthus spragueii,"(Audubon, 1844)",Anthus,2,178499,1,FALSE,0.8,0,,,,,Motacillidae,,Anthus spragueii,
454,Fringilla montifringilla,,Fringilla,2,Fringilla montifringilla,"Linnaeus, 1758",Fringilla,2,179167,1,FALSE,0.8,0,,,,,Fringillidae,,Fringilla montifringilla,
455,Coccothraustes vespertinus,,Coccothraustes,2,Coccothraustes vespertinus,"(W. Cooper, 1825)",Coccothraustes,2,179175-179173,1,FALSE,0.8,0,,Hesperiphona vespertina,"(W. Cooper, 1825)",179175,Fringillidae,,Hesperiphona vespertina,
456,Pinicola enucleator,,Pinicola,2,Pinicola enucleator,"(Linnaeus, 1758)",Pinicola,2,179205,1,FALSE,0.8,0,,,,,Fringillidae,,Pinicola enucleator,
457,Leucosticte tephrocotis,,Leucosticte,2,Leucosticte tephrocotis,"(Swainson, 1832)",Leucosticte,2,179215,1,FALSE,0.8,0,,,,,Fringillidae,,Leucosticte tephrocotis,
458,Haemorhous mexicanus,,Haemorhous,2,Haemorhous mexicanus,"(P. L. Statius Müller, 1776)",Haemorhous,2,997805,1,FALSE,0.8,0,,,,,Fringillidae,,Haemorhous mexicanus,
459,Haemorhous purpureus,,Haemorhous,2,Haemorhous purpureus,"(J. F. Gmelin, 1789)",Haemorhous,2,997803,1,FALSE,0.8,0,,,,,Fringillidae,,Haemorhous purpureus,
460,Haemorhous cassinii,,Haemorhous,2,Haemorhous cassinii,"(S. F. Baird, 1854)",Haemorhous,2,997804,1,FALSE,0.8,0,,,,,Fringillidae,,Haemorhous cassinii,
461,Chloris sinica,,Chloris,2,Chloris sinica,"(Linnaeus, 1766)",Chloris,2,997807,1,FALSE,0.8,0,,,,,Fringillidae,,Chloris sinica,
462,Acanthis flammea,,Acanthis,2,Acanthis flammea,"(Linnaeus, 1758)",Acanthis,2,179241,1,FALSE,0.8,0,,,,,Fringillidae,,Acanthis flammea,
463,Loxia curvirostra,,Loxia,2,Loxia curvirostra,"Linnaeus, 1758",Loxia,2,179259,1,FALSE,0.8,0,,,,,Fringillidae,,Loxia curvirostra,
464,Loxia leucoptera,,Loxia,2,Loxia leucoptera,"J. F. Gmelin, 1789",Loxia,2,179268,1,FALSE,0.8,0,,,,,Fringillidae,,Loxia leucoptera,
465,Spinus pinus,,Spinus,2,Spinus pinus,"(A. Wilson, 1810)",Spinus,2,179246,1,FALSE,0.8,0,,,,,Fringillidae,,Spinus pinus,
466,Spinus psaltria,,Spinus,2,Spinus psaltria,"(Say, 1822)",Spinus,2,179254,1,FALSE,0.8,0,,,,,Fringillidae,,Spinus psaltria,
467,Spinus tristis,,Spinus,2,Spinus tristis,"(Linnaeus, 1758)",Spinus,2,179249,1,FALSE,0.8,0,,,,,Fringillidae,,Spinus tristis,
468,Calcarius lapponicus,,Calcarius,2,Calcarius lapponicus,"(Linnaeus, 1758)",Calcarius,2,179526,1,FALSE,0.8,0,,,,,Calcariidae,,Calcarius lapponicus,
